new.seqID	dG	dH	dS	Tm
MIR-148A;hsa-miR-148a-3p|1x|1x	-1.1	-32.4	-100.9	47.9
MIR-181A;hsa-miR-181a-2-5p|10x|1x	-2.7	-34	-100.9	63.8
MIR-133A-star;NA	-3.6	-34.9	-100.9	72.7
MIR-652;NA	-3.6	-34.9	-100.9	72.7
MIR-346-mmu;NA	-1.3	-32.7	-101.2	49.8
MIR-28-5P;hsa-miR-28-5p|10x|1x	-1.6	-33	-101.2	52.8
MIR-214;hsa-miR-214|1x|4x	-2.1	-33.5	-101.2	57.7
MIR-181B;hsa-miR-181b-1-5p|1x|2x	-3.1	-34.5	-101.2	67.6
MIR-135A;NA	-0.3	-31.8	-101.6	40
MIR-421-3P;hsa-miR-421|1x|1x	-0.5	-32	-101.6	41.9
MIR-509-3P-mmu;NA	-1.5	-33	-101.6	51.8
MIR-455-3P-hsa;hsa-miR-455-3p|2x|1x	-2	-33.5	-101.6	56.7
MIR-455-3P;NA	-2	-33.5	-101.6	56.7
MIR-590-5P;hsa-miR-590-5p|1x|4x	-2	-33.5	-101.6	56.7
MIR-325-3P-hsa;NA	-2.1	-33.6	-101.6	57.7
LET-7I;NA	-2.8	-34.4	-101.9	64.5
MIR-302C-hsa;hsa-miR-302c-3p|1x|3x	-3.1	-34.7	-101.9	67.4
MIR-302C-rno;NA	-3.1	-34.7	-101.9	67.4
MIR-302C;NA	-3.1	-34.7	-101.9	67.4
MIR-769-5P;hsa-miR-769-5p|1x|1x	-3.3	-34.9	-101.9	69.4
MIR-290-3P-mmu;NA	-0.9	-32.6	-102.2	45.8
MIR-448;NA	-2.3	-34.1	-102.5	59.4
RLCV-4-3P;NA	-2.8	-34.6	-102.5	64.3
MIR-520A-3P;NA	-1.8	-33.7	-102.9	54.5
MIR-329-hsa;NA	-0.8	-32.8	-103.2	44.8
MIR-542-3P;NA	-1.1	-33.1	-103.2	47.7
MIR-655;NA	-1.7	-33.7	-103.2	53.5
MIR-509-5P-mmu;NA	-1.8	-33.8	-103.2	54.4
MIR-363;hsa-miR-363-3p|2x|1x	-1.9	-33.9	-103.2	55.4
MIR-501-5P-hsa;NA	-2.3	-34.3	-103.2	59.3
MIR-501-5P;NA	-2.3	-34.3	-103.2	59.3
MIR-741-3P;NA	-1.7	-33.8	-103.5	53.4
MIR-410;NA	-2.8	-34.9	-103.5	64.1
MIR-29C-star;NA	-3.2	-35.3	-103.5	67.9
RLCV-14-5P;NA	-3.3	-35.4	-103.5	68.9
ARTIF-6A;NA	-4.7	-36.8	-103.5	82.4
ARTIF-1A;NA	-5.6	-37.7	-103.5	91.1
MIR-561;NA	-2.3	-34.5	-103.8	59.2
EBV-5;NA	-2.4	-34.6	-103.8	60.1
RLCV-8;NA	-2.4	-34.6	-103.8	60.1
MIR-676;NA	-1	-33.3	-104.1	46.6
BRCAT32-15;NA	-1.1	-33.4	-104.1	47.6
MIR-770-5P-hsa;NA	-1.7	-34	-104.1	53.3
MIR-338-3P-2;hsa-miR-338-3p|1x|1x	-2	-34.3	-104.1	56.2
KSHV-K12-9-star;NA	-2.4	-34.7	-104.1	60
MIR-21;hsa-miR-21-5p|1x|10x	-2.5	-34.8	-104.1	61
MIR-466C-5P-rno;NA	-2.9	-35.2	-104.1	64.8
MIR-346-rno;NA	-1	-33.4	-104.5	46.6
MIR-625;hsa-miR-625-5p|1x|1x	-1.9	-34.3	-104.5	55.2
MIR-548A-3P;NA	-2.2	-34.6	-104.5	58.1
MIR-603;NA	-2.2	-34.6	-104.5	58.1
MIR-412;NA	-2.9	-35.3	-104.5	64.8
MIR-291A-5P;NA	-3.4	-35.8	-104.5	69.5
MIR-892A;NA	-0.5	-33	-104.8	41.8
MIR-322-hsa;NA	-1.7	-34.2	-104.8	53.2
MIR-550-star;NA	-2.9	-35.4	-104.8	64.7
MIR-296-5P;hsa-miR-296-5p|1x|3x	-3.3	-35.8	-104.8	68.5
MIR-349;NA	-3.4	-35.9	-104.8	69.4
MIR-302C-star-hsa;NA	-3.6	-36.1	-104.8	71.4
MIR-302C-star-mmu;NA	-3.6	-36.1	-104.8	71.4
MIR-551A;NA	-2.8	-35.4	-105.1	63.6
MIR-551B;hsa-miR-551b-3p|1x|1x	-2.8	-35.4	-105.1	63.6
MIR-708;NA	-3.3	-35.9	-105.1	68.4
MIR-138;NA	-4.2	-36.8	-105.1	77
ARTIF-8A;NA	-2	-34.7	-105.4	56
MIR-200A;hsa-miR-200a-3p|1x|10x	-2.7	-35.4	-105.4	62.6
MIR-103;hsa-miR-103a-3p|1x|3x	-2.9	-35.6	-105.4	64.5
MIR-107;hsa-miR-107|1x|8x	-2.9	-35.6	-105.4	64.5
MIR-325-3P;NA	-1.5	-34.3	-105.8	51.2
MIR-16;hsa-miR-16-5p|1x|5x	-1.9	-34.7	-105.8	55
MIR-742-mmu;NA	-3.4	-36.2	-105.8	69.1
MIR-742-rno;NA	-3.4	-36.2	-105.8	69.1
MIR-878-3P-mmu;NA	-3.4	-36.2	-105.8	69.1
MIR-878-3P-rno;NA	-3.4	-36.2	-105.8	69.1
MIR-324-3P;NA	-4	-36.8	-105.8	74.8
MIR-547-rno;NA	-2.1	-35	-106.1	56.8
MIR-885-3P;NA	-2.3	-35.3	-106.4	58.6
MIR-564;NA	-3.1	-36.1	-106.4	66.1
MIR-181D;NA	-3.3	-36.3	-106.4	68
MIR-376C;NA	-1.3	-34.4	-106.7	49.2
MIR-713;NA	-2.8	-35.9	-106.7	63.2
MIR-376A-hsa;hsa-miR-376a-3p|1x|4x	-3	-36.1	-106.7	65.1
MIR-376B-hsa;NA	-3	-36.1	-106.7	65.1
MIR-376B;NA	-3	-36.1	-106.7	65.1
MIR-376C-hsa;NA	-3	-36.1	-106.7	65.1
MIR-502-5P;NA	-3	-36.1	-106.7	65.1
MIR-525-3P;NA	-4.3	-37.4	-106.7	77.3
PRCAT73-15;NA	-0.9	-34.1	-107	45.4
MIR-703;NA	-3	-36.2	-107	65
MIR-600;NA	-3.5	-36.7	-107	69.7
MIR-518F;NA	-4.1	-37.3	-107	75.3
MIR-610;NA	-2.2	-35.5	-107.4	57.5
EBV-11-3P;NA	-3.3	-36.6	-107.4	67.7
MIR-552;NA	-4.7	-38	-107.4	80.8
EBV-20-3P;NA	-4.9	-38.2	-107.4	82.6
MIR-647;NA	-2.5	-35.9	-107.7	60.2
MIR-466H;NA	-3	-36.4	-107.7	64.9
MIR-767-5P;NA	-1.6	-35.1	-108	51.8
MIR-463-mmu;NA	-2.7	-36.2	-108	62
MIR-539;NA	-2.9	-36.4	-108	63.8
MIR-384-5P;NA	-1.1	-34.7	-108.3	47.2
MIR-463-rno;NA	-3.8	-37.4	-108.3	72.1
MIR-743A-rno;NA	-3.8	-37.4	-108.3	72.1
MIR-434-5P;NA	-2.5	-36.2	-108.7	60
HCMV-UL70-5P;NA	-2.8	-36.5	-108.7	62.8
MIR-217;NA	-3.2	-36.9	-108.7	66.5
MIR-570;NA	-2.4	-36.2	-109	59
MIR-142-5P;hsa-miR-142-5p|5x|1x	-3.3	-37.1	-109	67.3
EBV-8-5P;NA	-3.9	-37.7	-109	72.8
MIR-299-3P-hsa;hsa-miR-299-3p|1x|3x	-4.5	-38.3	-109	78.3
MIR-299-3P;NA	-4.5	-38.3	-109	78.3
MIR-190B;NA	-2.2	-36.1	-109.3	57.1
MIR-513A-5P;NA	-2	-36	-109.6	55.2
MIR-592;NA	-2.2	-36.2	-109.6	57.1
LET-7G;hsa-let-7g-5p|8x|1x	-1.7	-35.8	-109.9	52.5
MIR-513A-3P;NA	-3.1	-37.2	-109.9	65.2
MIR-489-rno;NA	-0.3	-34.5	-110.3	39.7
MIR-30B;hsa-miR-30b-5p|10x|1x	-1.5	-35.7	-110.3	50.6
MIR-30C;hsa-miR-30c-5p|1x|1x	-1.5	-35.7	-110.3	50.6
MIR-557;NA	-3.7	-37.9	-110.3	70.6
MIR-291B-5P-mmu;NA	-4.2	-38.4	-110.3	75.1
MIR-291B-5P-rno;NA	-4.2	-38.4	-110.3	75.1
MIR-328-3P;NA	-2.9	-37.2	-110.6	63.2
MIR-220B;NA	-3.4	-37.7	-110.6	67.7
MIR-465A-5P;NA	-1.5	-35.9	-110.9	50.5
MIR-876-3P-rno;NA	-2.3	-36.7	-110.9	57.7
MIR-470;NA	-2.7	-37.1	-110.9	61.3
MIR-130B;hsa-miR-130b-3p|1x|3x	-3	-37.4	-110.9	64
MIR-154;hsa-miR-154-5p|1x|1x	-3	-37.4	-110.9	64
MIR-130A;hsa-miR-130a-3p|8x|1x	-3.1	-37.5	-110.9	64.9
MIR-883A-3P-hsa;NA	-1.8	-36.3	-111.2	53.2
MIR-883B-3P;NA	-1.8	-36.3	-111.2	53.2
MIR-136-2;NA	-2.5	-37	-111.2	59.5
MIR-292-5P;NA	-2.8	-37.3	-111.2	62.2
MIR-373-star;NA	-2.8	-37.3	-111.2	62.2
MIR-490-3P;hsa-miR-490-3p|1x|1x	-3.8	-38.3	-111.2	71.2
MIR-220;NA	-4	-38.5	-111.2	73
MIR-572;NA	-4.9	-39.4	-111.2	81.1
MIR-384-3P-hsa;NA	-1.9	-36.5	-111.6	54
MIR-384-3P;NA	-1.9	-36.5	-111.6	54
EBV-4;NA	-2.2	-36.8	-111.6	56.7
EBV-14-3P;NA	-2.6	-37.2	-111.6	60.3
MIR-566;NA	-2.7	-37.3	-111.6	61.2
MIR-678;NA	-4.1	-38.7	-111.6	73.8
MIR-331-5P;NA	-4.3	-38.9	-111.6	75.5
MIR-374A;hsa-miR-374a-5p|1x|5x	-0.1	-34.8	-111.9	37.9
MIR-654-3P-rno;NA	-1.5	-36.2	-111.9	50.4
MIR-654-3P;hsa-miR-654-3p|1x|4x	-1.5	-36.2	-111.9	50.4
MIR-327-rno;NA	-3.2	-37.9	-111.9	65.6
MIR-616-star;NA	-1.2	-36.2	-112.8	47.6
MIR-182;NA	-2.3	-37.3	-112.8	57.4
MIR-493-mmu;NA	-2.3	-37.3	-112.8	57.4
MIR-339-3P-hsa;NA	-2.5	-37.5	-112.8	59.2
MIR-556-5P;NA	-2.7	-37.7	-112.8	60.9
MGHV-M1-8;NA	-3.5	-38.5	-112.8	68
MIR-596;NA	-5.5	-40.5	-112.8	85.7
MIR-381;NA	-2.9	-38	-113.2	62.6
MIR-587;NA	-2.1	-37.3	-113.5	55.5
MIR-30D;hsa-miR-30d-5p|4x|1x	-2.4	-37.6	-113.5	58.1
MIR-339-5P;hsa-miR-339-5p|10x|1x	-4.2	-39.4	-113.5	74
MIR-207-mmu;NA	-2.7	-38	-113.8	60.7
MIR-207-rno;NA	-2.7	-38	-113.8	60.7
MIR-699;NA	-2.7	-38	-113.8	60.7
MIR-657;NA	-2.2	-37.6	-114.1	56.3
MIR-508-5P;NA	-3.2	-38.6	-114.1	65
MIR-25;hsa-miR-25-3p|5x|1x	-1.2	-36.7	-114.5	47.5
MIR-431;NA	-3.6	-39.2	-114.8	68.4
MIR-34A;hsa-miR-34a-5p|2x|1x	-4.4	-40	-114.8	75.3
MIR-32;hsa-miR-32-5p|1x|2x	-2.5	-38.2	-115.1	58.7
MIR-454_1;NA	-2.5	-38.2	-115.1	58.7
RLCV-16-3P;NA	-2.5	-38.3	-115.4	58.7
MIR-290-3P-rno;NA	-4.3	-40.1	-115.4	74.3
MIR-624;NA	-3.9	-39.8	-115.8	70.7
MIR-449B-mmu;NA	-4.1	-40	-115.8	72.4
MIR-871-mmu;NA	-1.8	-37.8	-116.1	52.5
EBV-6-3P;NA	-3.3	-39.3	-116.1	65.4
MIR-618;NA	-2	-38.1	-116.4	54.2
MIR-449A;hsa-miR-449a|4x|1x	-3.9	-40	-116.4	70.5
MIR-449B-hsa;hsa-miR-449b|1x|8x	-3.9	-40	-116.4	70.5
MIR-449B-rno;NA	-3.9	-40	-116.4	70.5
MIR-673-5P-rno;NA	-4.9	-41	-116.4	79.1
MIR-330-5P;NA	-5.2	-41.3	-116.4	81.7
MGHV-M1-1;NA	-0.3	-36.5	-116.7	39.6
MIR-142-3P;hsa-miR-142-3p|1x|1x	-2.2	-38.4	-116.7	55.8
ARTIF-6B;NA	-4.3	-40.5	-116.7	73.8
ARTIF-1B;NA	-5.2	-41.4	-116.7	81.6
MIR-634;NA	-2.2	-38.5	-117	55.8
MIR-555;NA	-3.6	-39.9	-117	67.8
MIR-615-5P;NA	-4.1	-40.4	-117	72
MIR-371-3P;NA	-1.4	-37.8	-117.4	48.9
MIR-488-hsa;NA	-4.6	-41	-117.4	76.2
MIR-489-hsa;NA	-2	-38.5	-117.7	54
MIR-553;NA	-2.2	-38.7	-117.7	55.7
MIR-29B;hsa-miR-29b-3p|4x|1x	-2.4	-38.9	-117.7	57.4
MIR-609;NA	-2.5	-39	-117.7	58.2
MIR-219-5P;NA	-3.7	-40.2	-117.7	68.4
MIR-337-5P-hsa;NA	-4.2	-40.7	-117.7	72.7
MIR-208B;NA	-5.5	-42	-117.7	83.7
MIR-743A-mmu;NA	0.2	-36.4	-118	35.3
MIR-425-star;NA	-3.5	-40.1	-118	66.7
MIR-524-3P;NA	-3.7	-40.3	-118	68.4
MIR-700;NA	-3.9	-40.5	-118	70
ARTIF-8B;NA	-5.3	-41.9	-118	81.9
ARTIF-3B;NA	-6.2	-42.8	-118	89.5
MIR-146A;hsa-mir-146a-5p|1.5x|1x	-1.3	-38	-118.3	48
MIR-30A;hsa-miR-30a-5p|8x|1x	-2.8	-39.5	-118.3	60.7
MIR-30E;NA	-2.8	-39.5	-118.3	60.7
MIR-450B-5P-rno;NA	-3	-39.7	-118.3	62.4
MIR-500-3P-hsa;hsa-miR-500a-3p|1x|4x	-3.7	-40.4	-118.3	68.3
MIR-501-3P-hsa;hsa-miR-501-3p|3x|1x	-3.7	-40.4	-118.3	68.3
MIR-501-3P;NA	-3.7	-40.4	-118.3	68.3
MIR-502-3P;hsa-miR-502-3p|1x|1x	-3.7	-40.4	-118.3	68.3
ARTIF-2B;NA	-4.7	-41.4	-118.3	76.7
MIR-148B;hsa-miR-148b-3p|1x|1.5x	-2.1	-38.9	-118.7	54.7
MIR-516A-5P;NA	-2.5	-39.3	-118.7	58.1
MIR-376A;NA	-3.1	-39.9	-118.7	63.1
MIR-380-5P;NA	-2.2	-39.1	-119	55.5
RLCV-11;NA	-3.1	-40	-119	63.1
MIR-181A-star;NA	-3.4	-40.3	-119	65.6
MIR-300-3P;NA	-3.5	-40.4	-119	66.4
MIR-594;NA	-4.1	-41.1	-119.3	71.4
RLCV-12-5P;NA	-5.1	-42.1	-119.3	79.8
MIR-28-3P-mmu;NA	-2.6	-39.7	-119.6	58.7
MIR-578;NA	-2.7	-39.8	-119.6	59.6
MIR-133A;hsa-miR-133a-3p|1x|4x	-3.6	-40.7	-119.6	67.1
MIR-133B;hsa-miR-133b|2x|1x	-3.6	-40.7	-119.6	67.1
MIR-34B-5P-hsa;NA	-3.9	-41	-119.6	69.6
MIR-34B-5P;NA	-3.9	-41	-119.6	69.6
MIR-34C-5P;hsa-miR-34c-5p|1x|3x	-3.9	-41	-119.6	69.6
MIR-136;hsa-miR-136-5p|1x|8x	-4.8	-42	-119.9	77
MIR-200A-star;NA	-4.9	-42.1	-119.9	77.9
MIR-514;NA	-1.8	-39.1	-120.3	52
MIR-295-3P-mmu;NA	-2.3	-39.6	-120.3	56.1
MIR-190;hsa-miR-190a-5p|1x|1.5x	-3.3	-40.6	-120.3	64.4
MIR-871-rno;NA	-3.4	-40.7	-120.3	65.3
MIR-124;hsa-miR-124-3p|1x|4x	-3.8	-41.1	-120.3	68.6
MIR-24-1-star;NA	-4.6	-41.9	-120.3	75.2
MIR-682;NA	-1.1	-38.5	-120.6	46.1
MIR-629;hsa-miR-629-5p|1x|8x	-2.2	-39.6	-120.6	55.2
MIR-497-2;hsa-miR-497-5p|2x|1x	-3.2	-40.6	-120.6	63.5
MIR-497;NA	-3.2	-40.6	-120.6	63.5
MIR-1-star;NA	-2.9	-40.4	-120.9	61
MIR-493;NA	-3.1	-40.6	-120.9	62.6
MIR-875-5P;NA	-3	-40.6	-121.2	61.7
MIR-886-5P;NA	-3.2	-40.8	-121.2	63.4
MIR-182-star;NA	-3.3	-40.9	-121.2	64.2
MIR-216A;NA	-1.4	-39.1	-121.6	48.5
MIR-293-3P;NA	-3.2	-40.9	-121.6	63.3
MIR-697;NA	-2.3	-40.1	-121.9	55.9
MIR-198;NA	-3.9	-41.9	-122.5	68.8
"2OM-bol-miR824,bol-miR824;bol-miR824|1x|10x"	-4.8	-42.8	-122.5	76.2
CAT819-30;NA	-0.6	-38.7	-122.8	41.9
MIR-582-3P-hsa;NA	-2.3	-40.4	-122.8	55.7
MGHV-M1-3;NA	-3.7	-41.8	-122.8	67.1
MIR-567;NA	-5.1	-43.2	-122.8	78.5
MIR-518A-5P;NA	-5.6	-43.7	-122.8	82.6
MIR-520D-5P;NA	-5.6	-43.7	-122.8	82.6
MIR-645;NA	-2.9	-41.1	-123.2	60.5
MIR-892B;NA	-2.9	-41.1	-123.2	60.5
MIR-613;NA	-3.1	-41.3	-123.2	62.2
MIR-627;NA	-4.4	-42.6	-123.2	72.7
MIR-717;NA	-4.7	-42.9	-123.2	75.2
MIR-515-3P;NA	-2.8	-41.1	-123.5	59.7
MIR-290-5P;NA	-3.3	-41.6	-123.5	63.7
ARTIF-7B;NA	-4	-42.3	-123.5	69.4
MIR-488;NA	-4	-42.3	-123.5	69.4
MIR-186;hsa-miR-186-5p|1.5x|1x	-1.3	-39.7	-123.8	47.5
MIR-659;NA	-5	-43.4	-123.8	77.4
MIR-518D-3P;NA	-6.2	-44.6	-123.8	87.1
HCMV-UL36;NA	-3.1	-41.6	-124.1	62
MIR-685;NA	-4	-42.5	-124.1	69.2
EBV-8-3P;NA	-4.2	-42.7	-124.1	70.8
MIR-297A;NA	-4.6	-43.1	-124.1	74.1
MIR-669B;NA	-4.6	-43.1	-124.1	74.1
MIR-548C-3P;NA	-0.5	-39.1	-124.5	41
MIR-548D-3P;NA	-0.5	-39.1	-124.5	41
MIR-155-hsa;hsa-miR-155-5p|5x|1x	-1	-39.6	-124.5	45
MIR-455-5P;NA	-1.6	-40.2	-124.5	49.9
MIR-708-star;NA	-2.8	-41.4	-124.5	59.5
MIR-338-3P;NA	-3.1	-41.7	-124.5	61.9
MIR-762;NA	-4.5	-43.1	-124.5	73.2
EBV-13;NA	-4.8	-43.4	-124.5	75.6
MIR-718;NA	-7	-45.6	-124.5	93.2
MIR-291B-3P-mmu;NA	-1.5	-40.2	-124.8	49
MIR-291B-3P-rno;NA	-1.5	-40.2	-124.8	49
MIR-294-3P-rno;NA	-1.5	-40.2	-124.8	49
MIR-876-3P-hsa;NA	-2.6	-41.3	-124.8	57.8
MIR-876-3P-mmu;NA	-2.6	-41.3	-124.8	57.8
MIR-188-3P;hsa-miR-188-3p|1x|8x	-3.9	-42.6	-124.8	68.3
MIR-326;NA	-4.2	-43	-125.1	70.6
RLCV-12-3P;NA	-3.5	-42.4	-125.4	64.9
LACAT1-15;NA	-3.9	-42.8	-125.4	68.1
MIR-155;NA	-0.9	-39.9	-125.7	44.2
MIR-362-5P-hsa;hsa-miR-362-5p|4x|1x	-2.2	-41.2	-125.7	54.5
MIR-362-5P;NA	-2.2	-41.2	-125.7	54.5
MIR-145;hsa-miR-145-5p|1x|3x	-2.3	-41.3	-125.7	55.3
MIR-106A-hsa;NA	-3.9	-42.9	-125.7	68
MIR-106A-mmu;NA	-3.9	-42.9	-125.7	68
MIR-106B;hsa-miR-106b-5p|1x|1x	-3.9	-42.9	-125.7	68
MIR-17;hsa-miR-17-5p|1x|1x	-3.9	-42.9	-125.7	68
MIR-20A;hsa-miR-20a-5p|8x|1x	-3.9	-42.9	-125.7	68
MIR-20B;hsa-miR-20b-5p|1.5x|1x	-3.9	-42.9	-125.7	68
MIR-190B-rno;NA	-2.4	-41.5	-126.1	56
MIR-101;hsa-miR-101-3p|1x|4x	-3	-42.1	-126.1	60.8
MIR-371-5P;NA	-4.2	-43.3	-126.1	70.3
MIR-504-rno;NA	-2.9	-42.1	-126.4	59.9
MIR-504;NA	-2.9	-42.1	-126.4	59.9
MIR-185;hsa-miR-185-5p|1x|10x	-3.3	-42.6	-126.7	63
MIR-93;NA	-3.4	-42.7	-126.7	63.8
MIR-521;NA	-4.9	-44.2	-126.7	75.7
MIR-768-5P;NA	-1.4	-40.8	-127	48
"2OM-bra-MIR172,bra-MIR172;bra-MIR172|4x|1x"	-1.6	-41	-127	49.6
"2OM-hvu-miR168-5p,hvu-miR168-5p;hvu-miR168-5p|2x|1x"	-3.5	-42.9	-127	64.6
ARTIF-7A;NA	-5.1	-44.5	-127	77.1
MIR-339-3P-mmu;NA	-5.8	-45.2	-127	82.7
MIR-323-5P;NA	-3.3	-42.8	-127.4	62.9
MIR-376A-star;NA	-3.3	-42.8	-127.4	62.9
MGHV-M1-5;NA	-3.5	-43	-127.4	64.5
MIR-712-star;NA	-3.6	-43.1	-127.4	65.3
MIR-302B-star-hsa;NA	-3.8	-43.4	-127.7	66.8
MIR-584;hsa-miR-584-5p|1x|10x	-3.8	-43.4	-127.7	66.8
MIR-565;NA	-2.1	-41.8	-128	53.4
RLCV-5-5P;NA	-3.4	-43.1	-128	63.6
MIR-331-3P;hsa-miR-331-3p|1.5x|1x	-4.8	-44.5	-128	74.5
MIR-701;NA	-2	-41.9	-128.6	52.5
MIR-290-5P-rno;NA	-3.7	-43.6	-128.6	65.8
MIR-518E-star;NA	-5.4	-45.3	-128.6	79
MIR-433-5P;NA	-3.5	-43.5	-129	64.1
MIR-680;NA	-3.7	-43.7	-129	65.7
MIR-520A-5P;NA	-3.8	-43.8	-129	66.5
MIR-525-5P;NA	-3.8	-43.8	-129	66.5
MIR-451;hsa-miR-451a|1x|10x	0.4	-39.7	-129.3	33.9
MIR-598-3P-hsa;NA	-0.9	-41	-129.3	44
MIR-876-5P-hsa;NA	-2.9	-43	-129.3	59.4
MIR-876-5P-mmu;NA	-2.9	-43	-129.3	59.4
MIR-876-5P-rno;NA	-2.9	-43	-129.3	59.4
MIR-467D;NA	-4.3	-44.4	-129.3	70.3
MIR-714;NA	-5.1	-45.2	-129.3	76.4
MIR-208A;hsa-miR-208a|1.5x|1x	-6.9	-47	-129.3	90.4
MIR-617;NA	-2.8	-43	-129.6	58.6
MIR-882A;NA	-2.8	-43	-129.6	58.6
MIR-541-5P-hsa;NA	-3.4	-43.6	-129.6	63.2
MIR-140-5P;hsa-miR-140-5p|1x|5x	-3	-43.3	-129.9	60.1
RLCV-1;NA	-4	-44.3	-129.9	67.8
MIR-22;hsa-miR-22-3p|8x|1x	-3.7	-44.1	-130.3	65.4
MIR-518D-5P;NA	-4.5	-44.9	-130.3	71.5
MIR-293-3P-rno;NA	-4.7	-45.1	-130.3	73.1
MIR-18A;hsa-miR-18a-5p|1x|4x	-4.9	-45.3	-130.3	74.6
MIR-18B-hsa;hsa-miR-18b-5p|1x|10x	-4.9	-45.3	-130.3	74.6
MIR-465-3P;NA	-2.6	-43.1	-130.6	56.9
MIR-378-star;NA	-3.5	-44.1	-130.9	63.7
MIR-373;hsa-miR-373-3p|1x|1.5x	-6.5	-47.2	-131.2	86.5
MIR-581;NA	-0.9	-41.7	-131.5	43.8
MIR-372;NA	-3.7	-44.5	-131.5	65.1
MIR-523;NA	-5.1	-45.9	-131.5	75.8
MIR-503;NA	-5.6	-46.4	-131.5	79.6
MIR-19A;hsa-miR-19a-3p|1x|1x	-4.1	-45	-131.9	68.1
MIR-19B;hsa-miR-19b-3p|1x|10x	-4.1	-45	-131.9	68.1
MIR-887;NA	-5.2	-46.1	-131.9	76.4
MIR-28-3P;hsa-miR-28-3p|8x|1x	-1.9	-42.9	-132.2	51.4
MIR-517-star;NA	-4	-45	-132.2	67.3
LACAT6-45;NA	-3.8	-44.9	-132.5	65.7
MIR-134;hsa-miR-134-5p|1x|3x	-3.9	-45.1	-132.8	66.4
MIR-542-5P;NA	-4.4	-45.7	-133.2	70
BRCAT54-30;NA	-4.5	-45.8	-133.2	70.8
MIR-188-5P;hsa-miR-188-5p|1x|10x	-4.9	-46.2	-133.2	73.8
MIR-297;NA	-5.3	-46.6	-133.2	76.8
MIR-670;NA	-1.3	-42.7	-133.5	46.7
MGHV-M1-6;NA	-3.3	-44.7	-133.5	61.7
MIR-710;NA	-4.3	-45.7	-133.5	69.2
MIR-580;NA	-2.9	-44.4	-133.8	58.7
MIR-376B-star;NA	-3	-44.5	-133.8	59.4
MIR-383-hsa;NA	-4.1	-45.6	-133.8	67.6
MIR-498;NA	-5.4	-46.9	-133.8	77.4
MIR-27B;hsa-miR-27b-3p|2x|1x	-0.3	-41.9	-134.1	39.2
MIR-101B;NA	-3.2	-44.8	-134.1	60.9
MIR-509-5P-hsa;NA	-3.4	-45	-134.1	62.3
MIR-341;NA	-5.9	-47.5	-134.1	81
MIR-301B;NA	-4	-45.7	-134.5	66.8
MIR-491-5P;NA	-5.5	-47.2	-134.5	77.9
MIR-602;NA	-5.6	-47.3	-134.5	78.7
MIR-200B;hsa-miR-200b-3p|3x|1x	-2.7	-44.5	-134.8	57
LACAT6-30;NA	-2.4	-44.3	-135.1	54.8
MIR-641;NA	-2.4	-44.4	-135.4	54.7
MIR-467AB;NA	-3.8	-45.8	-135.4	65.1
LACAT1-30;NA	-4	-46	-135.4	66.5
MIR-673-5P-mmu;NA	-2.9	-45	-135.7	58.4
HCMV-US25-2-5P;NA	-2.9	-45.1	-136.1	58.3
MIR-140-3P;NA	-4.1	-46.3	-136.1	67.1
MIR-874;hsa-miR-874-3p|1x|10x	-5.3	-47.5	-136.1	76
MIR-380-3P;NA	-1	-43.3	-136.4	44.3
MIR-515-5P;NA	-2.9	-45.2	-136.4	58.3
MIR-301A;hsa-miR-301a-3p|10x|1x	-3.3	-45.7	-136.7	61.1
MIR-519E-star;NA	-5.1	-47.6	-137	74.2
MIR-466B-5P;NA	-3.2	-45.8	-137.4	60.3
MIR-466E-5P;NA	-3.2	-45.8	-137.4	60.3
MIR-615-3P;hsa-miR-615-3p|1x|1x	-3.2	-45.9	-137.7	60.2
MIR-663;NA	-6.5	-49.2	-137.7	84.2
MIR-589-star;NA	-3.3	-46.1	-138	60.9
EBV-16;NA	-4.5	-47.3	-138	69.6
MIR-526B;NA	-3.1	-46	-138.3	59.4
MIR-466C-5P-mmu;NA	-3.7	-46.6	-138.3	63.7
MIR-200C;hsa-miR-200c-3p|8x|1x	-2.6	-45.6	-138.6	55.8
MIR-632;NA	-3.4	-46.4	-138.6	61.5
MIR-878-5P-mmu;NA	-3	-46.1	-139	58.6
MIR-320A;hsa-miR-320a|1x|1.5x	-3.2	-46.3	-139	60
MIR-524-5P;NA	-3.3	-46.4	-139	60.7
MIR-635;NA	-5.1	-48.2	-139	73.7
MIR-466F-5P;NA	-6	-49.2	-139.3	80.1
HIV1-N367;NA	-2.9	-46.2	-139.6	57.8
MIR-588;NA	-4.9	-48.3	-139.9	72
MIR-601;NA	-3.1	-46.6	-140.3	59.1
MIR-764-3P;NA	-6.6	-50.1	-140.3	84.1
RLCV-15;NA	-3.7	-47.3	-140.6	63.3
MIR-507;NA	-2.9	-46.6	-140.9	57.6
MIR-377;NA	-4.3	-48	-140.9	67.5
MIR-512-5P;NA	-6	-49.7	-140.9	79.6
MIR-222;hsa-mir-222|1.5x|1x	-4.4	-48.3	-141.5	68.1
BRCAT32-30;NA	-4.2	-48.3	-142.2	66.5
MIR-141;hsa-miR-141-3p|1.5x|1x	-5	-49.1	-142.2	72.2
MGHV-M1-4;NA	-3.1	-47.3	-142.5	58.8
MIR-681;NA	-5.5	-49.7	-142.5	75.6
MIR-526B-star;NA	-4.4	-49	-143.8	67.6
